FID,OBJECTID,Place,Name,cdp_name,citycode,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
215,216,33092,Heidelberg,Heidelberg,33092,30,4,1475,1507,1055,4,1477,1477,24,1031,1031,0,0,1031,15207.728396399999838,6561407.055220000445843
216,217,33356,Hermleigh,Hermleigh,33356,213,2,155,383,284,2,156,170,169,107,108,2,2,115,19570.164466900001571,23355027.984400000423193
217,218,33836,Highlands,Highlands,33836,4564,84,3344,8612,6465,446,3752,4048,3757,2171,2460,312,61,2708,20372.659443799999281,16834260.971000000834465
218,219,34105,Hillside Acres,Hillside Acres,34105,0,0,3,3,2,0,3,3,0,2,2,0,0,2,3676.773775499999829,613492.615284999948926
219,220,34130,Hilltop,Hilltop (Frio),34130,21,2,328,356,266,2,329,335,10,254,254,1,2,256,8988.389847700000246,3242303.221510000061244
220,221,34133,Hilltop,Hilltop (Starr),34133,0,0,120,120,67,0,120,120,0,67,67,0,0,67,1430.642364909999969,127814.264506999999867
221,222,34136,Hilltop Lakes,Hilltop Lakes,34136,1216,7,76,1385,1122,24,99,169,1021,32,44,12,5,101,23214.934694399998989,22544085.942000001668930
222,223,34478,Holiday Beach,Holiday Beach,34478,411,4,85,526,482,6,86,115,380,77,77,5,2,102,9040.828102420000505,5070821.666170000098646
223,224,34586,Holly Lake Ranch,Holly Lake Ranch,34586,2674,14,118,2951,2650,16,133,277,2439,77,87,11,12,211,27167.975060100001429,23389065.307399999350309
224,225,34671,Homestead Meadows North,Homestead Meadows North,34671,533,29,4572,5210,3855,58,4613,4677,447,3331,3362,42,13,3408,28664.370857000001706,40206660.282999999821186
225,226,34673,Homestead Meadows South,Homestead Meadows South,34673,162,26,6932,7142,5213,50,6950,6980,120,5065,5075,25,17,5093,15294.766456200000903,9452431.682889999821782
226,227,34856,Hornsby Bend,Hornsby Bend,34856,1990,272,7386,12168,8460,2560,9748,10178,1634,4806,6505,1794,210,6826,28037.067869499998778,24709467.455299999564886
227,228,34865,Horseshoe Bend,Horseshoe Bend,34865,737,9,134,949,776,13,145,212,628,80,91,11,7,148,8304.176974980000523,4457736.008550000376999
228,229,35204,Huckabay,Huckabay,35204,207,1,42,268,201,3,45,61,164,25,28,3,1,37,13528.240697400000499,8670829.055099999532104
229,230,35253,Hudson Bend,Hudson Bend,35253,2689,265,844,4005,3362,108,949,1316,2359,631,715,86,201,1003,19847.713310999999521,17088697.665600001811981
230,231,35324,Hull,Hull,35324,470,1,27,522,431,5,31,52,387,22,25,4,0,44,12723.201914299999771,5198977.522169999778271
231,232,35420,Hungerford,Hungerford,35420,122,3,128,390,313,134,256,268,99,96,203,111,3,214,10094.753996900000857,4750266.478659999556839
232,233,35684,Iago,Iago,35684,66,1,59,148,114,22,78,82,56,42,54,14,1,58,13445.308372499999678,4939502.121919999830425
233,234,35754,Iglesia Antigua,Iglesia Antigua,35754,8,2,406,415,306,1,407,407,8,298,298,0,0,298,12829.239780199999586,5689094.546000000089407
234,235,35828,Imperial,Imperial,35828,106,2,175,294,193,3,177,188,75,107,108,1,2,118,18401.482131400000071,10887163.587799999862909
235,236,35915,Indian Hills,Indian Hills,35915,78,2,2611,2694,1727,1,2611,2616,55,1668,1668,0,2,1672,16867.050097100000130,5250863.706419999711215
236,237,35954,Indian Springs,Indian Springs,35954,750,2,51,892,699,26,75,142,603,32,44,14,1,96,8999.780978139999206,4799200.423170000314713
237,238,35966,Indio,Indio,35966,2,0,63,65,45,0,63,63,1,44,44,0,0,44,5588.359458750000158,743630.073585000005551
238,239,35996,Inez,Inez,35996,2053,25,453,2641,1940,38,486,588,1558,284,306,27,13,382,64299.399212700001954,154055363.881000012159348
239,240,37390,Jardin de San Julian,Jardin de San Julian,37390,0,0,23,23,15,0,23,23,0,15,15,0,0,15,917.048962363999976,40415.598909300002560
240,241,37665,J.F. Villareal,J.F. Villareal,37665,0,1,82,82,63,0,82,82,0,63,63,0,1,63,810.211684826999999,41534.656997999998566
241,242,38168,Juarez,Juarez,38168,24,7,606,642,449,3,609,618,19,421,423,2,3,430,2837.861915599999975,513723.963858000002801
242,243,38518,K-Bar Ranch,K-Bar Ranch,38518,85,0,288,375,265,0,288,290,62,201,201,0,0,203,12978.485520300000644,8712189.476369999349117
243,244,39304,Kingsland,Kingsland,39304,5228,61,1372,7028,5627,124,1467,1800,4422,878,949,84,42,1205,29591.417302599998948,25340817.970300000160933
244,245,39664,Knippa,Knippa,39664,217,4,358,606,469,11,367,389,177,265,273,9,1,292,23284.950689099998272,13448720.190799999982119
245,246,39784,Kopperl,Kopperl,39784,153,0,6,164,125,0,6,11,120,1,1,0,0,5,6213.978258610000012,1394910.945360000012442
246,247,39988,La Blanca,La Blanca,39988,105,10,1944,2078,1538,5,1944,1973,93,1423,1423,4,5,1445,13848.720668800000567,10736055.386700000613928
247,248,39994,La Carla,La Carla,39994,1,0,54,55,39,0,54,54,0,39,39,0,0,39,1740.489553829999977,185959.522658000001684
248,249,40000,La Casita,La Casita,40000,1,0,138,139,87,0,138,138,1,86,86,0,0,86,6135.738028370000393,161575.473834000003990
249,250,40018,La Chuparosa,La Chuparosa,40018,0,0,74,74,50,0,74,74,0,50,50,0,0,50,647.173234769000032,26197.953026600000157
250,251,40036,Lackland AFB,Lackland AFB,40036,5331,462,1560,9467,8775,2222,3517,4136,4973,1432,3265,2087,401,3802,16838.915896800001065,10932292.864199999719858
251,252,40100,La Coma,La Coma,40100,1,0,6,7,6,0,6,6,0,6,6,0,0,6,9237.791741119999642,3158439.274389999918640
252,253,40104,La Coma Heights,La Coma Heights,40104,7,0,104,116,95,2,106,109,5,87,89,2,0,90,7701.714641190000293,2546970.067850000225008
253,254,40186,La Escondida,La Escondida,40186,0,0,183,183,129,0,183,183,0,129,129,0,0,129,1749.640189899999996,150915.050611000013305
254,255,40188,La Esperanza,La Esperanza,40188,2,0,211,217,136,0,211,215,0,133,133,0,0,136,1090.796218250000038,73596.504701300000306
255,256,40210,La Feria North,La Feria North,40210,34,0,185,225,148,4,186,191,26,119,119,3,0,122,8927.461968710000292,3101131.765809999778867
256,257,40258,Lago,Lago,40258,6,2,149,161,116,2,149,155,5,108,108,1,1,111,1495.665966819999994,131962.806829000008292
257,258,40262,Lago Vista,Lago Vista,40262,1,0,132,133,86,0,132,132,0,86,86,0,0,86,7753.487281540000367,1144340.585720000090078
258,259,40300,Laguna Heights,Laguna Heights,40300,58,9,884,962,671,3,886,904,43,612,614,2,6,628,2710.048750250000012,417268.444984000001568
259,260,40312,Laguna Park,Laguna Park,40312,1164,10,88,1372,1184,29,114,208,1028,64,78,17,6,156,15732.420550999999250,8941917.769419999793172
260,261,40320,Laguna Seca,Laguna Seca,40320,3,0,225,232,170,6,229,229,1,168,169,3,0,169,10985.857535200000711,5904262.826190000399947
261,262,40342,La Homa,La Homa,40342,331,15,10884,11267,7672,32,10890,10936,247,7391,7397,25,8,7425,24828.624772499999381,16398291.037000000476837
262,263,40456,Lake Brownwood,Lake Brownwood,40456,1158,8,214,1462,1235,40,251,304,1006,153,178,25,8,229,23860.352323399998568,17399318.039200000464916
263,264,40462,Lake Bryan,Lake Bryan,40462,652,5,1249,2060,1429,94,1332,1408,544,764,823,69,2,885,35724.535183400003007,22274385.591699998825788
264,265,40468,Lake Cherokee,Lake Cherokee,40468,2331,7,309,2980,2493,229,530,649,2046,187,344,159,5,447,34729.480784200000926,42619285.449199996888638
265,266,40475,Lake Colorado City,Lake Colorado City,40475,508,3,89,636,495,20,107,128,422,48,54,7,3,73,28599.192811299999448,23531472.305700000375509
266,267,40522,Lake Dunlap,Lake Dunlap,40522,1083,12,790,1981,1548,25,813,898,926,551,566,16,6,622,9833.763724059999731,4248684.497360000386834
267,268,40576,Lakehills,Lakehills,40576,3941,67,1036,5295,4359,78,1103,1354,3358,754,802,52,47,1001,58624.328540900001826,88794810.845599994063377
268,269,40624,Lake Kiowa,Lake Kiowa,40624,2055,16,61,2254,1998,18,79,199,1847,42,53,11,14,151,15625.497208799999498,9774745.656509999185801
269,270,40674,Lake Medina Shores,Lake Medina Shores,40674,693,16,303,1110,912,13,316,417,584,231,243,12,10,328,14639.652768199999628,8746276.233289999887347
270,271,40676,Lake Meredith Estates,Lake Meredith Estates,40676,276,1,28,338,282,6,33,62,234,19,22,3,1,48,9378.873332810000647,2183118.499429999850690
271,272,40714,Lakeshore Gardens-Hidden Acres,Lakeshore Gardens-Hidden Acres,40714,314,11,293,637,497,7,298,323,284,191,194,3,5,213,13859.621229399999720,8108492.234299999661744
272,273,40966,Lake View,Lake View,40966,106,0,85,197,154,0,85,91,94,54,54,0,0,60,6644.157703720000427,1310933.846499999985099
273,274,41086,La Loma de Falcon,La Loma de Falcon,41086,0,0,72,72,50,0,72,72,0,50,50,0,0,50,3821.403192920000038,222438.349309000011999
274,275,41092,Lamar,Lamar,41092,594,14,75,724,664,5,76,130,554,63,64,3,10,110,14706.716246199999659,12684000.274499999359250
275,276,41170,La Minita,La Minita,41170,2,0,127,129,101,1,127,127,2,99,99,1,0,99,6970.440990869999951,1361082.288590000011027
276,277,41176,Lamkin,Lamkin,41176,31,0,14,46,40,2,15,15,29,11,11,0,0,11,8389.851429660000576,1743462.452809999929741
277,278,41180,La Moca Ranch,La Moca Ranch,41180,3,0,22,25,21,0,22,22,3,18,18,0,0,18,31674.870518600000651,38949461.788800001144409
278,279,41404,Lantana,Lantana,41404,7848,885,1173,10785,7439,587,1737,2937,5579,685,1053,379,589,1860,17140.942628799999511,6040469.128139999695122
279,280,41416,La Paloma,La Paloma,41416,37,14,3165,3218,2207,4,3168,3181,30,2166,2168,3,10,2177,15867.114646300000459,5598645.617519999854267
280,281,41420,La Paloma Addition,La Paloma Addition,41420,15,0,297,314,225,2,297,299,10,215,215,2,0,215,6422.156844310000452,1813000.362140000099316
281,282,41422,La Paloma-Lost Creek,La Paloma-Lost Creek,41422,705,9,629,1359,1251,11,637,654,693,535,543,11,8,558,22914.430317900001683,21763415.884899999946356
282,283,41424,La Paloma Ranchettes,La Paloma Ranchettes,41424,1,0,328,329,222,0,328,328,0,222,222,0,0,222,6305.214130950000254,1219916.639080000109971
283,284,41449,La Presa,La Presa,41449,2,0,239,241,171,2,239,239,2,169,169,2,0,169,7884.092458989999614,1307825.764770000008866
284,285,41452,La Pryor,La Pryor,41452,92,4,1186,1294,934,17,1196,1202,87,837,843,8,3,847,13856.608063600000605,6899526.889080000109971
285,286,41458,La Puerta,La Puerta,41458,4,0,631,638,455,0,631,634,3,449,449,0,0,452,5458.176123590000316,820713.609513000003062
286,287,41473,Laredo Ranchettes,Laredo Ranchettes,41473,0,0,21,21,11,0,21,21,0,11,11,0,0,11,6197.542058940000061,1438855.492300000041723
287,288,41475,Laredo Ranchettes West,Laredo Ranchettes West,41475,1,1,4,5,5,0,4,4,1,4,4,0,1,4,2554.114443810000012,188733.796459000004688
288,289,41503,La Rosita,La Rosita,41503,0,0,82,82,61,0,82,82,0,61,61,0,0,61,4530.065973189999568,177923.108444000012241
289,290,41542,Lasana,Lasana,41542,15,3,88,104,72,0,88,89,10,61,61,0,3,62,7355.590023609999662,2136898.854350000154227
290,291,41548,Lasara,Lasara,41548,45,1,861,909,673,4,861,864,39,631,631,1,1,634,9220.378380869999091,3795607.601170000154525
291,292,41565,Las Haciendas,Las Haciendas,41565,0,0,1,2,2,0,1,2,0,1,1,0,0,2,5006.349559279999994,612190.283541999990121
292,293,41566,Las Lomas,Las Lomas,41566,30,1,3013,3054,2086,7,3017,3024,23,2055,2059,7,1,2063,7465.825052959999994,1021000.737109999987297
293,294,41569,Las Lomitas,Las Lomitas,41569,12,1,218,235,172,0,218,223,12,155,155,0,1,160,14160.467956000000413,10231865.152000000700355
294,295,41579,Las Palmas,Las Palmas,41579,19,1,39,59,48,0,39,40,17,30,30,0,0,31,2040.328115750000052,175930.994154000014532
