FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
42,085,43,COLLIN,542472,206884,169158,1064465,786838,126186,289913,521993,425932,112750,196791,86611,144989,360906,195025.129983999999240,2287412898.289999961853027
43,087,44,COLLINGSWORTH,1617,32,832,2652,1988,148,955,1035,1309,520,615,98,24,679,195307.358520000008866,2381307070.170000076293945
44,089,45,COLORADO,11761,132,5990,20557,16093,2535,8336,8796,9930,4026,5807,1827,90,6163,245829.568999000010081,2512982426.019999980926514
45,091,46,COMAL,105250,3517,43590,161501,126535,5409,48172,56251,86680,30300,33708,3834,2426,39855,199165.824771999992663,1483459565.670000076293945
46,093,47,COMANCHE,9197,62,3867,13594,10566,127,3949,4397,7677,2506,2557,72,47,2889,212120.872070000012172,2444476038.349999904632568
47,095,48,CONCHO,2097,47,1033,3303,2851,105,1121,1206,1885,815,895,91,33,966,222086.189054999995278,2562726379.159999847412109
48,097,49,COOKE,29404,446,8519,41668,31523,1687,10062,12264,23797,5132,6130,1041,320,7726,298473.131011000019498,2321463076.989999771118164
49,099,50,CORYELL,46213,3238,16482,83093,62606,15290,30436,36880,36642,11259,21287,10659,2270,25964,209107.979755999986082,2725536945.170000076293945
50,101,51,COTTLE,902,18,327,1380,1097,128,440,478,764,226,305,90,14,333,204872.873300000006566,2331186158.800000190734863
51,103,52,CRANE,1342,39,3158,4675,3351,102,3237,3333,1130,2087,2147,71,26,2221,250857.385447000007844,2026398333.829999923706055
52,105,53,CROCKETT,1080,23,1920,3098,2394,36,1945,2018,902,1416,1437,29,17,1492,514706.081314000010025,7240638835.479999542236328
53,107,54,CROSBY,2076,41,2829,5133,3812,203,2965,3057,1760,1873,1980,129,22,2052,193065.184481000003871,2329624441.699999809265137
54,109,55,CULBERSON,445,50,1645,2188,1721,48,1673,1743,396,1252,1274,38,31,1325,424663.762199999997392,9832485648.049999237060547
55,111,56,DALLAM,3119,33,3707,7115,5022,142,3837,3996,2374,2447,2536,96,21,2648,257201.674869999988005,3912880502.110000133514404
56,113,57,DALLAS,724987,203085,1057835,2613539,1972578,611735,1649689,1888552,622696,722471,1165513,452877,154229,1349882,193665.080931000004057,2344864895.469999790191650
57,115,58,DAWSON,4590,86,6767,12456,9450,1004,7665,7866,3754,4733,5538,842,63,5696,193056.237259999994421,2328271997.929999828338623
58,117,59,DEAF SMITH,4233,78,13925,18583,12949,290,14080,14350,3472,9156,9251,168,58,9477,256572.086146999994526,3881140942.039999961853027
59,119,60,DELTA,4189,63,394,5230,4081,402,765,1041,3361,252,511,271,38,720,237037.768037000001641,717831985.447999954223633
60,121,61,DENTON,485646,106260,182778,906422,678416,113638,290458,420776,385461,122901,199386,79448,74894,292955,198702.391215999989072,2457349226.980000019073486
61,123,62,DE WITT,10854,105,6890,19824,15418,1867,8564,8970,8969,4826,6120,1353,77,6449,212263.148421999998391,2351276275.300000190734863
62,125,63,DICKENS,1178,21,512,1770,1369,64,548,592,969,339,365,43,17,400,193600.965506000007736,2338744500.880000114440918
63,127,64,DIMMIT,898,94,7487,8615,6308,129,7570,7717,746,5387,5453,89,73,5562,239098.984824999992270,3449610278.119999885559082
64,129,65,DONLEY,2537,42,356,3258,2591,227,561,721,2089,232,374,155,29,502,196744.221638999995776,2416863071.840000152587891
65,131,66,DUVAL,937,66,7962,9831,7512,208,8133,8894,819,5963,6114,172,45,6693,293024.289667000004556,4647963542.199999809265137
66,133,67,EASTLAND,13653,169,2934,17725,13986,497,3380,4072,11156,1953,2309,371,123,2830,199107.079609999986133,2404323808.519999980926514
67,135,68,ECTOR,51023,2940,100051,165171,119460,9522,108362,114148,40953,68159,74112,6512,2161,78507,192921.160834999987856,2326088903.309999942779541
68,137,69,EDWARDS,651,26,718,1422,1140,17,725,771,570,528,535,14,14,570,343489.825653999985661,5469562575.199999809265137
69,139,70,ELLIS,106495,2639,52032,192455,140984,27000,77843,85960,83519,33562,51592,18423,1708,57465,225340.923366000002716,2456065081.940000057220459
