cntyvtd,district_id,dem_share,rep_share,pct_white,pct_black,pct_asian,pct_hispanic,polsby_popper,convex_hull_ratio,schwartzberg,reock
19900002E,32,0.11602034329307057,0.8639542275905913,0.3469763168772293,0.12232697268195242,0.03931938433027857,0.4722924790262294,0.5946030056957606,0.9206901337393978,1.296840156399702,0.41184319632216837
19900002F,32,0.11602034329307057,0.8639542275905913,0.6014040570254066,0.1723868909123655,0.012480502288011277,0.1872074885862131,0.4219935660758706,0.760466801525132,1.5393844144943332,0.2458774025060075
19900003AA,32,0.07478632478632478,0.9038461538461539,0.705586758276535,0.03990540987081351,0.02601241473713979,0.19597989899177184,0.36693071965856333,0.7267460679867045,1.650851328897451,0.3640207097441511
19900003AB,32,0.07478632478632478,0.9038461538461539,0.8307692303057101,0.04615384512721966,0.0,0.12307692328289593,0.5071409106613569,0.9418118045968659,1.4042216897958821,0.28930872362751386
19900003BA,32,0.07478632478632478,0.9038461538461539,0.7229676360242921,0.08208366214596406,0.03762167831135639,0.12943962543450532,0.2521525727624683,0.6628666603543765,1.991444915802965,0.34445390312199686
19900003BB,32,0.07478632478632478,0.9038461538461539,0.14893619298662994,0.04255319138535562,6.517714158165175e-10,0.7234042348126172,0.6111955353767732,0.9666924385703687,1.279115947019438,0.389307142775267
19900003C,32,0.07478632478632478,0.9038461538461539,0.8415032681508615,0.026143790879476096,0.03333333309778319,0.06666666671116493,0.43071777779146986,0.7469142904329199,1.523714502859548,0.40465872523882324
19900003D,32,0.07478632478632478,0.9038461538461539,0.749746963362495,0.05592105273032764,0.03238866406537567,0.12525303629171164,0.3624075193707247,0.8178076486971122,1.66112150240037,0.6162472449550965
19900003E,32,0.07478632478632478,0.9038461538461539,0.8088803085642412,0.050965251195420204,0.03127413134232856,0.07799227805941916,0.27001861019552864,0.7406223964177566,1.9244345760272217,0.4403981245699172
19900004A,32,0.0955223880597015,0.8895522388059701,0.6189194775826237,0.11384806463747776,0.03912233478878862,0.19954460887683143,0.3037825808229021,0.7708516903610227,1.8143395442997587,0.24152704313787146
